uplift_score,uplift_segment,p_treatment,p_control,Converted
0.28884333,Sleeping Dog,0.38636956,0.09752621,0
0.44244492,Persuadable,0.96964765,0.5272027,0
0.22130507,Persuadable,0.9850507,0.7637456,1
0.053715397,Lost Cause,0.10505696,0.05134156,0
-0.18114465,Sure Thing,0.5173589,0.69850355,1
0.37624484,Sleeping Dog,0.3842308,0.007985947,0
0.008884132,Sure Thing,0.917378,0.9084939,1
0.29115754,Sleeping Dog,0.38636956,0.09521201,0
0.11942012,Sleeping Dog,0.16318955,0.043769427,0
0.053089526,Lost Cause,0.10857355,0.055484023,0
0.015892148,Sure Thing,0.8416661,0.82577395,1
0.24554765,Persuadable,0.81739426,0.5718466,1
0.1665858,Persuadable,0.92209935,0.75551355,1
0.18375024,Sleeping Dog,0.25253487,0.06878463,0
-0.12000106,Lost Cause,0.052598655,0.17259972,0
0.20111853,Persuadable,0.8083917,0.60727316,1
0.37624484,Sleeping Dog,0.3842308,0.007985947,0
0.3382619,Sleeping Dog,0.43735167,0.09908976,0
0.046447635,Sure Thing,0.90656495,0.8601173,1
0.02646819,Lost Cause,0.048467174,0.021998985,0
0.032437142,Lost Cause,0.08369812,0.05126098,0
0.22956821,Sleeping Dog,0.32872167,0.09915345,0
-0.08555716,Sure Thing,0.8502009,0.93575805,1
0.39740497,Persuadable,0.90947914,0.5120742,0
0.16121781,Persuadable,0.9370474,0.7758296,1
0.38251776,Persuadable,0.84736556,0.4648478,1
0.071781635,Sure Thing,0.6884646,0.61668295,1
-0.035194755,Sure Thing,0.9214242,0.95661896,1
0.581692,Persuadable,0.6343634,0.052671425,0
0.17893773,Persuadable,0.9195101,0.7405724,1
0.08818883,Sure Thing,0.9330157,0.8448269,1
0.01402169,Lost Cause,0.02750622,0.013484529,0
0.13112701,Sleeping Dog,0.164045,0.032917995,0
0.024568304,Lost Cause,0.038143996,0.013575693,0
-0.00421454,Lost Cause,0.18715884,0.19137338,1
-0.1729564,Lost Cause,0.06224779,0.2352042,1
0.20910709,Sleeping Dog,0.44758224,0.23847516,0
0.09939498,Sure Thing,0.8741098,0.7747148,1
0.5401825,Persuadable,0.5947245,0.05454202,0
-0.2013542,Lost Cause,0.21717143,0.41852564,1
0.16277522,Sleeping Dog,0.23156784,0.06879262,0
-0.014137715,Lost Cause,0.032838676,0.04697639,0
0.20998862,Sleeping Dog,0.26254186,0.05255323,0
0.034362905,Lost Cause,0.06142455,0.027061643,0
0.107693836,Sleeping Dog,0.12772787,0.020034032,0
0.048685357,Lost Cause,0.08572658,0.037041225,0
0.24717587,Persuadable,0.81120473,0.56402886,0
0.37624484,Sleeping Dog,0.3842308,0.007985947,0
0.07770633,Lost Cause,0.16967203,0.0919657,0
0.37624484,Sleeping Dog,0.3842308,0.007985947,0
0.042364717,Sure Thing,0.8190434,0.7766787,1
0.6094836,Persuadable,0.6837687,0.07428506,0
0.12998916,Sleeping Dog,0.15529054,0.025301384,0
0.34448436,Sleeping Dog,0.47406527,0.12958091,0
0.15773584,Sleeping Dog,0.17120416,0.013468326,0
0.56244826,Persuadable,0.80695236,0.24450412,0
0.24515066,Sleeping Dog,0.4922912,0.24714056,1
-0.011201978,Sure Thing,0.909088,0.92029,1
-0.029338125,Lost Cause,0.042862426,0.07220055,0
0.57123315,Persuadable,0.62207437,0.050841197,0
0.10668106,Sleeping Dog,0.15174446,0.0450634,0
0.23472518,Sleeping Dog,0.39858282,0.16385764,0
-0.0049455166,Sure Thing,0.8760154,0.88096094,1
0.77117217,Persuadable,0.8818097,0.11063754,0
0.19127226,Persuadable,0.95092666,0.7596544,1
-0.066792294,Lost Cause,0.17175534,0.23854764,1
0.009013653,Sure Thing,0.9867257,0.97771204,1
0.00095301867,Sure Thing,0.8162609,0.81530786,1
0.22101259,Sleeping Dog,0.24750571,0.02649312,0
0.29115754,Sleeping Dog,0.38636956,0.09521201,0
0.24081951,Persuadable,0.72754633,0.48672682,0
0.030921584,Lost Cause,0.056601405,0.025679821,0
-0.0025687953,Lost Cause,0.01030991,0.012878706,0
0.028138338,Lost Cause,0.048374046,0.020235708,0
0.040607292,Lost Cause,0.08230648,0.04169919,0
-0.029044867,Lost Cause,0.3325036,0.36154845,1
0.027392507,Sure Thing,0.99359316,0.96620065,1
-0.10752261,Sure Thing,0.8339677,0.9414903,1
0.24893975,Sleeping Dog,0.27751243,0.02857268,0
-0.010451019,Sure Thing,0.96331483,0.97376585,1
0.2503456,Sleeping Dog,0.29517433,0.044828728,0
-0.25725716,Sure Thing,0.5388685,0.79612565,1
0.08097911,Sure Thing,0.9678202,0.8868411,1
0.37624484,Sleeping Dog,0.3842308,0.007985947,0
0.0050547123,Sure Thing,0.6993438,0.6942891,1
0.042066406,Lost Cause,0.06256692,0.020500515,0
